Число избирателей, внесенных в список на момент окончания голосования	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования в день голосования	Число  погашенных избирательных бюллетеней	Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования	Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Андрейченко Андрей Валерьевич	Кожемяко Олег Николаевич	Тимченко Алексей Павлович	Чемерис Роза Басировна
УИК №1405	66	65	0	22	0	43	0	22	1	21	0	0	4	16	1	0
УИК №1406	52	55	0	12	15	28	15	12	3	24	0	0	4	19	1	0
УИК №1407	339	345	0	156	25	164	25	156	13	168	0	0	39	108	6	15
УИК №1408	181	190	0	115	17	58	17	115	1	131	0	0	9	117	4	1
УИК №1409	234	235	0	56	2	177	2	56	2	56	0	0	10	43	1	2
УИК №1410	214	215	0	107	26	82	26	107	10	123	0	0	18	96	4	5
УИК №1411	2906	2900	0	1167	28	1705	28	1167	93	1102	0	0	400	566	80	56
УИК №1412	100	100	0	42	15	43	15	42	0	57	0	0	11	44	0	2
УИК №1413	198	205	0	157	4	44	4	157	27	134	0	0	12	117	2	3
УИК №1414	57	55	0	46	4	5	4	46	1	49	0	0	1	48	0	0
УИК №1415	715	715	0	503	20	192	20	503	39	484	0	0	35	418	17	14
УИК №1416	1741	1750	0	570	21	1159	21	569	45	545	0	0	200	253	55	37
УИК №1417	1181	1225	0	446	13	766	13	446	38	421	0	0	166	187	39	29
УИК №1418	207	215	0	71	2	142	2	71	7	66	0	0	31	24	6	5
УИК №1419	405	400	0	242	10	148	10	242	14	238	0	0	48	170	15	5
УИК №1420	199	200	25	77	7	91	32	77	6	103	0	0	4	99	0	0
УИК №1421	1033	1045	0	403	63	579	63	403	6	460	0	0	117	294	15	34
УИК №1422	1303	1310	0	445	8	857	8	444	32	420	0	0	109	246	35	30
УИК №1423	522	535	0	153	21	361	21	153	9	165	0	0	44	94	23	4
УИК №1424	1439	1480	0	672	12	796	12	672	35	649	0	0	72	512	38	27
УИК №1425	179	185	0	103	1	81	1	103	20	84	0	0	10	70	2	2
УИК №1501	792	815	0	362	26	427	26	362	18	370	0	0	87	248	17	18
УИК №1502	143	137	0	57	0	80	0	57	3	54	0	0	11	40	2	1
УИК №1503	740	781	0	315	17	449	17	315	19	313	0	0	73	193	23	24
УИК №1504	215	234	0	74	8	152	8	74	3	79	0	0	20	53	1	5
УИК №1505	760	803	0	374	12	417	12	374	8	378	0	0	74	269	22	13
УИК №1506	777	797	0	393	13	391	13	393	29	377	0	0	84	257	21	15
УИК №1507	735	762	0	321	9	432	9	321	16	314	0	0	79	198	20	17
УИК №1508	707	742	0	335	27	380	27	335	10	352	0	0	64	265	13	10
УИК №1509	470	458	0	280	13	165	13	280	19	274	0	0	79	154	27	14
УИК №1510	94	97	0	82	8	7	8	82	0	90	0	0	2	85	1	2
УИК №1511	277	278	0	145	11	122	11	145	8	148	0	0	39	98	7	4
УИК №1512	122	115	0	54	5	56	5	54	4	55	0	0	8	42	2	3
УИК №1513	698	713	0	372	19	322	19	372	7	384	0	0	62	296	10	16
УИК №1514	427	437	0	240	19	178	19	240	11	248	0	0	65	156	10	17
УИК №1515	518	535	0	276	9	250	9	276	11	274	0	0	75	172	17	10
УИК №1516	479	467	0	239	40	188	40	239	12	267	0	0	66	175	9	17
УИК №1517	549	573	0	247	26	300	26	247	38	235	0	0	64	141	19	11
УИК №1518	145	138	0	113	8	17	8	113	2	119	0	0	10	104	4	1
УИК №1519	283	286	0	147	9	130	9	147	5	151	0	0	24	122	3	2
УИК №1520	293	299	0	152	1	146	1	152	17	136	0	0	25	102	6	3
УИК №1521	106	107	0	52	2	53	2	52	1	53	0	0	8	42	3	0
УИК №1522	267	277	0	144	12	121	12	144	4	152	0	0	27	107	9	9
УИК №1523	459	454	0	377	17	60	17	377	11	383	0	0	59	303	5	16
УИК №1524	172	169	0	131	0	38	0	131	0	131	0	0	2	117	2	10
УИК №1525	229	234	0	66	0	168	0	66	1	65	0	0	18	39	7	1
УИК №1526	246	268	0	55	3	210	3	55	4	54	0	0	8	41	3	2
УИК №1527	246	257	0	105	14	138	14	105	4	115	0	0	28	82	2	3
УИК №6601	69	69	0	67	0	2	0	67	1	66	0	0	2	64	0	0
УИК №6602	22	22	0	22	0	0	0	22	1	21	0	0	2	19	0	0
УИК №6603	93	93	0	93	0	0	0	93	1	92	0	0	0	90	2	0
УИК №6604	72	72	0	72	0	0	0	72	0	72	0	0	1	70	1	0
УИК №6605	91	91	0	91	0	0	0	91	2	89	0	0	0	89	0	0
УИК №6606	19	21	0	19	0	2	0	19	0	19	0	0	1	18	0	0
УИК №6607	28	28	0	28	0	0	0	28	0	28	0	0	0	28	0	0
УИК №1601	1655	1600	0	456	12	1132	12	454	32	434	0	0	201	183	30	20
УИК №1602	1681	1600	0	454	11	1135	11	454	36	429	0	0	196	189	29	15
УИК №1603	1776	1700	0	497	48	1155	48	496	33	511	0	0	232	205	43	31
УИК №1604	872	800	0	232	2	566	2	232	19	215	0	0	84	105	12	14
УИК №1605	851	800	0	255	10	535	10	255	20	245	0	0	89	127	20	9
УИК №1606	1195	1200	0	332	6	862	6	332	14	324	0	0	154	136	24	10
УИК №1607	538	500	0	149	4	347	4	149	12	141	0	0	64	59	12	6
УИК №1608	1609	1600	0	538	8	1054	8	538	29	517	0	0	175	279	42	21
УИК №1609	1668	1600	0	719	28	853	28	719	31	716	0	0	224	398	53	41
УИК №1610	1658	1600	0	697	21	882	21	697	46	672	0	0	227	353	49	43
УИК №1611	1649	1600	0	691	12	897	12	691	41	662	0	0	245	334	58	25
УИК №1612	1756	1700	0	770	16	914	16	770	32	754	0	0	236	428	51	39
УИК №1613	1727	1700	0	668	12	1020	12	668	32	648	0	0	259	310	39	40
УИК №1614	1555	1400	0	898	39	463	39	898	51	886	0	0	230	574	52	30
УИК №1615	819	750	0	374	2	374	2	374	24	352	0	0	140	181	13	18
УИК №1616	1667	1600	0	530	11	1059	11	530	39	502	0	0	215	216	44	27
УИК №1617	1509	1500	0	516	18	966	18	516	35	499	0	0	238	203	36	22
УИК №1618	1621	1600	0	486	5	1109	5	486	33	458	0	0	180	213	32	33
УИК №1619	1675	1600	0	603	24	973	24	602	45	581	0	0	281	224	48	28
УИК №1620	1579	1500	0	549	17	934	17	549	27	539	0	0	229	224	56	30
УИК №1621	166	160	0	99	5	56	5	99	2	102	0	0	26	73	1	2
УИК №1622	81	80	0	51	0	29	0	51	1	50	0	0	14	33	2	1
УИК №1623	906	800	13	406	57	324	70	406	25	451	0	0	68	342	23	18
УИК №1624	293	270	0	139	16	115	16	139	3	152	0	0	29	117	3	3
УИК №1625	100	100	0	43	3	54	3	43	0	46	0	0	9	36	1	0
УИК №1626	164	150	0	75	8	67	8	75	1	82	0	0	11	66	0	5
УИК №1627	467	450	0	196	7	247	7	196	11	192	0	0	59	109	13	11
УИК №1628	83	70	0	21	5	44	5	21	0	26	0	0	3	23	0	0
УИК №1629	302	280	0	119	18	143	18	119	2	135	0	0	31	94	3	7
УИК №1630	515	500	8	206	15	271	23	206	13	216	0	0	69	123	13	11
УИК №1631	257	250	0	88	5	157	5	88	9	84	0	0	22	55	1	6
УИК №1632	455	450	0	153	18	279	18	153	4	167	0	0	67	95	3	2
УИК №1633	158	150	0	63	6	81	6	63	2	67	0	0	23	37	7	0
УИК №1634	755	700	11	212	13	464	24	212	8	228	0	0	91	114	11	12
УИК №1635	596	550	0	178	17	355	17	178	14	181	0	0	72	85	15	9
УИК №1636	577	550	0	157	28	365	28	157	11	174	0	0	64	84	15	11
УИК №1637	391	350	0	223	12	115	12	223	5	230	0	0	64	143	12	11
УИК №1680	58	58	0	53	0	5	0	53	0	53	0	0	31	21	1	0
УИК №1681	119	122	0	90	28	4	28	90	9	109	0	0	28	63	8	10
УИК №1682	498	510	0	498	0	12	0	498	1	497	0	0	14	464	13	6
УИК №1701	1450	1425	0	708	24	693	24	708	35	697	0	0	189	439	36	33
УИК №1702	1095	1100	0	384	73	643	73	384	19	438	0	0	48	347	23	20
УИК №1703	1513	1530	0	651	11	868	11	651	26	636	0	0	260	301	39	36
УИК №1704	1545	1540	0	577	19	944	19	577	31	565	0	0	227	274	36	28
УИК №1705	980	980	20	237	5	718	25	237	10	252	0	0	103	125	12	12
УИК №1706	523	500	0	133	22	345	22	133	5	150	0	0	59	75	8	8
УИК №1707	266	260	0	93	9	158	9	93	2	100	0	0	24	73	0	3
УИК №1708	354	350	0	100	7	243	7	100	11	96	0	0	36	50	8	2
УИК №1709	1335	1350	44	356	15	935	59	356	28	387	0	0	80	276	16	15
УИК №1710	273	280	49	61	9	161	58	61	0	119	0	0	14	102	3	0
УИК №1711	126	120	0	43	2	75	2	43	1	44	0	0	5	36	3	0
УИК №1712	619	620	0	256	30	334	30	256	19	267	0	0	32	223	3	9
УИК №1713	631	620	0	275	54	291	54	275	15	314	0	0	61	238	7	8
УИК №1714	194	200	0	71	23	106	23	71	7	87	0	0	25	60	0	2
УИК №1715	1706	1730	73	456	20	1181	93	456	27	522	0	0	196	275	31	20
УИК №1716	1717	1730	0	664	33	1033	33	664	34	663	0	0	238	326	52	47
УИК №1717	1668	1670	0	654	21	995	21	654	43	632	0	0	256	288	53	35
УИК №1718	1567	1580	0	594	23	963	23	594	38	579	0	0	237	246	50	46
УИК №1719	871	880	0	414	65	401	65	414	24	455	0	0	148	263	27	17
УИК №1720	901	900	0	323	89	488	89	323	23	389	0	0	135	237	11	6
УИК №1721	1201	1190	0	413	91	686	91	413	16	488	0	0	123	326	18	21
УИК №1722	389	390	0	88	31	271	31	88	2	117	0	0	35	71	4	7
УИК №1723	388	380	0	196	3	181	3	196	12	187	0	0	57	97	19	14
УИК №1724	270	270	0	105	14	151	14	105	3	116	0	0	29	73	10	4
УИК №1725	1492	1500	0	578	53	869	53	578	21	610	0	0	128	421	28	33
УИК №1726	586	600	0	204	19	377	19	204	12	211	0	0	67	117	8	19
УИК №1727	490	480	0	212	41	227	41	212	0	253	0	0	44	189	12	8
УИК №1728	94	85	0	56	5	24	5	56	2	59	0	0	21	34	3	1
УИК №1729	519	520	0	228	24	268	24	228	14	238	0	0	59	156	9	14
УИК №1730	153	150	0	84	13	53	13	84	0	97	0	0	8	79	6	4
УИК №1731	137	130	0	77	9	44	9	77	3	83	0	0	11	64	4	4
УИК №1732	1215	1230	0	534	12	684	12	534	30	516	0	0	195	261	30	30
УИК №1733	249	250	0	77	9	164	9	77	4	82	0	0	26	54	1	1
УИК №1734	338	340	0	210	15	115	15	210	6	219	0	0	57	146	11	5
УИК №1735	73	70	0	14	21	35	21	14	0	35	0	0	12	22	1	0
УИК №1801	383	350	0	130	5	215	5	130	16	119	0	0	32	82	2	3
УИК №1802	145	130	0	72	15	43	15	72	8	79	0	0	10	64	1	4
УИК №1803	691	640	0	197	10	433	10	197	15	192	0	0	73	98	10	11
УИК №1804	389	350	0	119	4	227	4	119	9	114	0	0	20	84	5	5
УИК №1805	303	270	0	142	7	121	7	142	8	141	0	0	13	115	6	7
УИК №1806	183	160	0	44	9	107	9	44	3	50	0	0	12	34	2	2
УИК №1807	319	280	0	109	15	156	15	109	11	113	0	0	32	74	3	4
УИК №1808	1226	1100	0	448	11	641	11	448	26	433	0	0	151	231	29	22
УИК №1809	1059	970	0	278	10	682	10	278	19	269	0	0	118	130	9	12
УИК №1810	1056	960	0	300	13	647	13	300	15	298	0	0	98	169	23	8
УИК №1811	1715	1430	0	803	1	626	1	803	29	775	0	0	182	519	38	36
УИК №1812	757	680	0	231	11	438	11	231	18	224	0	0	91	106	21	6
УИК №1813	201	190	0	66	1	123	1	66	1	66	0	0	30	28	5	3
УИК №1814	1138	1025	0	385	22	618	22	385	39	368	0	0	119	196	32	21
УИК №1815	802	715	0	147	15	553	15	147	6	156	0	0	57	82	10	7
УИК №1816	1664	1450	0	478	16	956	16	478	23	471	0	0	201	213	33	24
УИК №1817	1774	1565	0	571	13	981	13	571	46	538	0	0	219	259	35	25
УИК №1818	3030	2685	0	1153	10	1522	10	1151	69	1092	0	0	386	582	73	51
УИК №1819	809	675	0	260	13	402	13	260	10	263	0	0	97	141	10	15
УИК №1820	1241	1115	0	419	2	694	2	419	31	390	0	0	158	169	35	28
УИК №1821	1755	1595	0	643	8	944	8	643	59	592	0	0	245	285	33	29
УИК №1822	1621	1475	0	626	0	849	0	626	49	577	0	0	249	260	35	33
УИК №1823	2001	1715	0	666	6	1043	6	666	40	632	0	0	286	259	58	29
УИК №1824	352	310	0	138	2	170	2	138	2	138	0	0	43	80	8	7
УИК №1825	1512	1385	0	591	17	777	17	591	45	563	0	0	202	297	32	32
УИК №1826	1792	1620	0	540	17	1063	17	540	41	516	0	0	191	267	32	26
УИК №1827	1552	1400	0	554	25	821	25	554	44	535	0	0	198	268	39	30
УИК №1828	1428	1295	0	545	19	731	19	545	44	520	0	0	175	275	48	22
УИК №1829	617	565	0	239	12	314	12	239	13	238	0	0	91	118	16	13
УИК №1901	379	350	0	207	46	97	46	207	10	243	0	0	46	164	18	15
УИК №1902	1021	1000	0	646	161	193	161	643	49	755	0	0	110	606	26	13
УИК №1903	2510	2500	0	1749	175	576	175	1749	57	1867	0	0	379	1358	68	62
УИК №1904	2628	2500	0	1901	29	570	29	1901	54	1876	0	0	376	1374	61	65
УИК №1905	1037	1000	0	556	54	390	54	556	19	591	0	0	149	373	40	29
УИК №1906	215	200	0	147	38	15	38	147	7	178	0	0	31	136	6	5
УИК №1907	459	450	0	314	34	102	34	314	10	338	0	0	63	260	8	7
УИК №1908	2063	2000	0	804	11	1185	11	804	46	769	0	0	311	331	73	54
УИК №1909	2009	2000	0	790	22	1188	22	790	26	786	0	0	348	351	50	37
УИК №1910	1860	1500	0	940	42	518	42	940	26	956	0	0	255	627	39	35
УИК №1911	1699	1500	0	649	39	812	39	649	53	635	0	0	262	283	45	45
УИК №1912	1555	1500	0	546	53	901	53	546	42	557	0	0	199	262	49	47
УИК №1913	834	800	0	411	2	387	2	411	2	411	0	0	108	270	16	17
УИК №1914	772	700	0	223	2	475	2	221	15	208	0	0	76	104	17	11
УИК №1915	361	300	0	213	68	19	68	213	8	273	0	0	69	182	11	11
УИК №1916	1873	1800	0	791	8	1001	8	791	58	741	0	0	258	396	51	36
УИК №1917	1706	1500	0	924	32	544	32	924	35	921	0	0	180	660	49	32
УИК №1918	1907	1500	0	875	52	573	52	875	40	887	0	0	254	545	47	41
УИК №1919	1552	1500	0	737	133	630	133	737	46	824	0	0	188	543	53	40
УИК №1920	1278	1000	0	762	10	228	10	762	29	743	0	0	155	528	36	24
УИК №1921	2686	2500	0	784	35	1681	35	784	52	767	0	0	365	270	72	60
УИК №1922	2967	2500	0	1097	172	1231	172	1097	29	1240	0	0	309	875	28	28
УИК №1923	2088	2000	0	781	4	1215	4	781	43	742	0	0	326	278	86	52
УИК №1924	2057	2000	0	632	19	1349	19	632	37	614	0	0	272	237	61	44
УИК №1925	1247	1000	0	863	9	128	9	863	13	859	0	0	166	612	36	45
УИК №1926	1913	1500	0	681	17	802	17	681	26	672	0	0	177	434	34	27
УИК №1927	2041	2000	0	675	14	1311	14	675	16	673	0	0	90	490	53	40
УИК №1928	1780	1500	0	549	15	936	15	549	26	538	0	0	242	218	44	34
УИК №1929	1396	1200	0	495	105	600	105	495	28	572	0	0	185	326	33	28
УИК №1930	1093	1000	0	509	3	488	3	509	23	489	0	0	108	323	29	29
УИК №1931	1556	1500	0	581	13	906	13	581	27	567	0	0	208	285	35	39
УИК №1932	1555	1500	0	616	5	879	5	616	35	586	0	0	227	275	47	37
УИК №1933	1294	1200	0	475	16	709	16	475	25	466	0	0	178	214	44	30
УИК №1934	1605	1500	0	744	9	747	9	743	25	727	0	0	109	537	44	37
УИК №1935	1473	1500	0	689	29	782	29	689	23	695	0	0	185	451	34	25
УИК №1936	1460	1400	0	624	10	766	10	624	14	620	0	0	172	380	44	24
УИК №1937	1732	1500	0	691	8	801	8	691	29	670	0	0	277	307	51	35
УИК №1938	1720	1500	0	628	7	865	7	628	18	617	0	0	242	283	50	42
УИК №1939	1372	1000	0	487	13	500	13	487	21	479	0	0	232	185	32	30
УИК №1940	2923	2500	0	1729	35	736	35	1729	26	1738	0	0	180	1468	62	28
УИК №1941	2351	2000	0	797	21	1182	21	797	40	778	0	0	319	352	64	43
УИК №1942	1396	1200	0	385	72	743	72	385	26	431	0	0	76	330	12	13
УИК №1943	1223	1000	0	448	16	536	16	448	88	376	0	0	98	232	28	18
УИК №1944	1469	1200	0	429	15	756	15	429	26	418	0	0	125	235	27	31
УИК №1945	1170	1000	0	537	18	445	18	537	27	528	0	0	179	290	33	26
УИК №1946	1538	1500	0	509	19	972	19	509	20	508	0	0	197	236	45	30
УИК №1947	1907	1500	0	695	54	751	54	695	19	730	0	0	177	475	47	31
УИК №1948	1503	1500	0	799	36	665	36	798	40	794	0	0	198	511	49	36
УИК №1949	1222	1000	0	542	12	446	12	542	18	536	0	0	185	291	33	27
УИК №1950	1781	1500	0	579	20	901	20	579	12	587	0	0	175	359	41	12
УИК №1951	1462	1200	0	673	42	485	42	673	26	689	0	0	183	441	41	24
УИК №1952	1665	1500	0	1035	60	405	60	1035	16	1079	0	0	190	816	49	24
УИК №1953	1748	1500	0	1107	39	354	39	1104	17	1126	0	0	126	937	33	30
УИК №1954	1012	1000	0	658	3	339	3	658	23	638	0	0	144	446	31	17
УИК №1955	2100	2000	0	975	45	980	45	975	48	972	0	0	203	687	35	47
УИК №1956	1958	1500	0	856	13	631	13	856	28	841	0	0	269	471	55	46
УИК №1957	1002	1000	0	314	10	676	10	314	18	306	0	0	142	118	23	23
УИК №1958	1189	1000	0	713	11	276	11	713	22	702	0	0	152	498	28	24
УИК №1959	1462	1200	0	440	18	742	18	440	17	441	0	0	187	203	29	22
УИК №1960	1604	1500	0	560	29	911	29	558	32	555	0	0	175	308	39	33
УИК №1961	1254	1000	0	787	8	205	8	787	15	780	0	0	199	490	47	44
УИК №1962	1917	1500	0	638	17	845	17	635	37	615	0	0	246	287	49	33
УИК №1963	1787	1500	0	1145	42	313	42	1145	41	1146	0	0	105	996	26	19
УИК №1964	2204	2000	0	1453	101	446	101	1453	46	1508	0	0	292	1085	74	57
УИК №1965	1181	1000	0	656	18	326	18	641	33	626	0	0	131	419	48	28
УИК №1966	1626	1500	0	709	25	766	25	709	15	719	0	0	115	552	33	19
УИК №1967	1286	1000	0	367	144	489	144	362	18	488	0	0	208	225	27	28
УИК №1968	2031	2000	0	779	12	1209	12	779	36	755	0	0	278	365	55	57
УИК №1969	2345	2000	0	879	20	1101	20	879	22	877	0	0	315	441	75	46
УИК №1970	1086	1000	0	372	30	598	30	372	20	382	0	0	133	193	42	14
УИК №1971	1282	1000	0	512	19	469	19	512	17	514	0	0	232	215	30	37
УИК №1972	1586	1500	0	561	18	921	18	561	33	546	0	0	228	233	39	46
УИК №1973	1147	1000	0	339	2	659	2	339	12	329	0	0	150	124	34	21
УИК №1974	1919	1500	0	688	26	786	26	687	34	679	0	0	292	290	64	33
УИК №1975	1129	1000	0	624	16	360	16	624	40	600	0	0	181	369	31	19
УИК №1976	985	800	0	426	2	372	2	425	32	395	0	0	149	175	41	30
УИК №7102	84	84	0	78	0	6	0	78	1	77	0	0	3	73	1	0
УИК №7103	74	76	0	74	0	2	0	74	0	74	0	0	3	66	2	3
УИК №7104	76	76	0	76	0	0	0	76	2	74	0	0	3	70	1	0
УИК №7106	21	21	0	18	0	3	0	18	1	17	0	0	4	5	1	7
УИК №7107	67	67	0	65	0	2	0	65	2	63	0	0	3	58	2	0
УИК №7116	27	27	0	27	0	0	0	27	3	24	0	0	4	17	0	3
УИК №7117	27	27	0	26	0	1	0	26	3	23	0	0	7	12	2	2
УИК №7118	136	136	0	136	0	0	0	136	9	127	0	0	9	105	4	9
УИК №7119	278	278	0	251	0	27	0	251	34	217	0	0	21	186	4	6
УИК №7120	11	11	0	11	0	0	0	11	0	11	0	0	0	10	1	0
УИК №7121	22	22	0	22	0	0	0	22	0	22	0	0	1	19	1	1
УИК №7122	20	20	0	20	0	0	0	20	1	19	0	0	1	17	0	1
УИК №7123	22	22	0	22	0	0	0	22	0	22	0	0	3	18	0	1
УИК №7124	21	21	0	21	0	0	0	21	1	20	0	0	1	18	0	1
УИК №7125	24	24	0	24	0	0	0	24	1	23	0	0	2	20	0	1
УИК №7126	18	18	0	18	0	0	0	18	0	18	0	0	2	16	0	0
УИК №7127	23	23	0	23	0	0	0	23	0	23	0	0	4	19	0	0
УИК №7128	18	18	0	18	0	0	0	18	1	17	0	0	2	15	0	0
УИК №7129	14	15	0	14	0	1	0	14	0	14	0	0	0	13	0	1
УИК №7130	20	22	0	20	0	2	0	20	1	19	0	0	2	16	0	1
УИК №7131	16	18	0	16	0	2	0	16	0	16	0	0	2	11	3	0
УИК №7132	20	22	0	20	0	2	0	20	2	18	0	0	0	18	0	0
УИК №7133	18	20	0	18	0	2	0	18	0	18	0	0	0	18	0	0
УИК №7134	19	21	0	19	0	2	0	19	1	18	0	0	2	16	0	0
УИК №7135	29	29	0	29	0	0	0	29	0	29	0	0	1	28	0	0
УИК №7136	29	29	0	29	0	0	0	29	0	29	0	0	0	28	0	1
УИК №7137	29	29	0	29	0	0	0	29	0	29	0	0	1	28	0	0
УИК №7139	16	16	0	16	0	0	0	16	1	15	0	0	1	11	2	1
УИК №7140	18	18	0	18	0	0	0	18	0	18	0	0	0	18	0	0
УИК №7141	17	17	0	17	0	0	0	17	0	17	0	0	1	15	0	1
УИК №7142	24	24	0	24	0	0	0	24	2	22	0	0	0	20	0	2
УИК №7143	29	29	0	29	0	0	0	29	0	29	0	0	0	27	0	2
УИК №7144	23	23	0	23	0	0	0	23	0	23	0	0	0	23	0	0
УИК №7145	13	15	0	13	0	2	0	13	0	13	0	0	4	7	1	1
УИК №7146	14	16	0	14	0	2	0	14	0	14	0	0	6	8	0	0
УИК №7147	12	14	0	12	0	2	0	12	1	11	0	0	2	3	0	6
УИК №7148	17	19	0	17	0	2	0	17	5	12	0	0	5	1	3	3
УИК №7149	12	14	0	12	0	2	0	12	1	11	0	0	2	4	0	5
УИК №7150	20	22	0	20	0	2	0	20	2	18	0	0	14	2	1	1
УИК №7152	29	29	0	29	0	0	0	29	5	24	0	0	10	9	3	2
УИК №7153	19	21	0	19	0	2	0	19	4	15	0	0	3	5	2	5
УИК №7154	21	21	0	21	0	0	0	21	4	17	0	0	10	3	1	3
УИК №7155	21	21	0	21	0	0	0	21	3	18	0	0	10	8	0	0
УИК №7156	20	20	0	20	0	0	0	20	5	15	0	0	6	6	0	3
УИК №7157	25	25	0	25	0	0	0	25	0	25	0	0	0	25	0	0
УИК №7158	19	21	0	19	0	2	0	19	3	16	0	0	3	6	4	3
УИК №7159	24	24	0	24	0	0	0	24	1	23	0	0	2	20	0	1
УИК №7160	25	25	0	25	0	0	0	25	5	20	0	0	3	16	1	0
УИК №7161	25	25	0	25	0	0	0	25	2	23	0	0	2	21	0	0
УИК №7162	29	29	0	29	0	0	0	29	2	27	0	0	3	21	2	1
УИК №7163	76	76	0	76	0	0	0	76	2	74	0	0	0	73	1	0
УИК №7164	45	47	0	45	0	2	0	45	3	42	0	0	1	40	1	0
УИК №7165	40	40	0	40	0	0	0	40	0	40	0	0	2	36	0	2
УИК №7166	49	51	0	49	0	2	0	49	3	46	0	0	1	45	0	0
УИК №7167	22	22	0	21	0	1	0	21	1	20	0	0	0	19	1	0
УИК №7168	20	20	0	20	0	0	0	20	0	20	0	0	0	20	0	0
УИК №2001	273	250	0	82	12	156	12	82	7	87	0	0	24	52	6	5
УИК №2002	379	350	0	125	4	221	4	125	15	114	0	0	32	71	4	7
УИК №2003	139	145	0	104	10	31	10	104	3	111	0	0	9	100	1	1
УИК №2004	540	515	0	261	22	232	22	261	20	263	0	0	47	194	6	16
УИК №2005	427	445	65	296	16	68	81	296	17	360	0	0	52	282	15	11
УИК №2006	491	470	0	294	12	164	12	294	18	288	0	0	58	206	18	6
УИК №2007	175	180	0	138	8	34	8	138	7	139	0	0	7	127	4	1
УИК №2008	315	280	0	209	7	64	7	209	6	210	0	0	29	165	11	5
УИК №2009	584	530	48	291	50	141	98	291	16	373	0	0	33	326	8	6
УИК №2010	153	165	0	88	7	70	7	88	1	94	0	0	15	73	2	4
УИК №2011	588	550	0	221	29	300	29	221	23	227	0	0	50	162	6	9
УИК №2012	197	205	0	88	8	109	8	88	6	90	0	0	33	46	8	3
УИК №2013	265	245	0	167	3	75	3	167	4	166	0	0	18	128	10	10
УИК №2014	794	740	0	382	119	239	119	382	23	478	0	0	64	396	7	11
УИК №2015	1018	915	0	557	7	351	7	557	57	507	0	0	183	249	43	32
УИК №2016	288	270	0	178	0	92	0	178	0	178	0	0	55	106	10	7
УИК №2017	439	425	18	105	25	277	43	105	6	142	0	0	35	97	6	4
УИК №2018	891	785	0	461	25	299	25	461	26	460	0	0	52	386	2	20
УИК №2019	270	240	0	157	10	73	10	157	4	163	0	0	37	122	1	3
УИК №2020	426	390	55	192	15	128	70	192	17	245	0	0	23	216	2	4
УИК №2021	580	515	0	217	30	268	30	217	19	228	0	0	83	92	26	27
УИК №2022	512	475	0	149	103	223	103	149	13	239	0	0	57	160	10	12
УИК №2023	508	550	0	411	30	109	30	411	11	430	0	0	68	317	21	24
УИК №2024	343	310	18	97	35	160	53	97	8	142	0	0	31	101	3	7
УИК №2025	169	185	0	84	32	69	32	84	1	115	0	0	14	99	2	0
УИК №2026	550	525	0	177	96	252	96	177	11	262	0	0	80	149	17	16
УИК №2027	582	535	0	250	44	241	44	250	29	265	0	0	56	175	19	15
УИК №2028	595	535	0	192	37	306	37	192	13	216	0	0	73	105	26	12
УИК №2029	535	485	0	210	38	237	38	210	11	237	0	0	63	155	9	10
УИК №2030	547	510	0	247	13	250	13	247	17	243	0	0	48	168	17	10
УИК №2031	509	470	0	334	38	98	38	334	11	361	0	0	81	255	13	12
УИК №2032	378	400	0	322	53	25	53	322	12	363	0	0	52	295	5	11
УИК №2033	396	360	0	280	1	79	1	280	10	271	0	0	84	174	6	7
УИК №2034	1172	1080	0	752	40	288	40	752	31	761	0	0	183	504	46	28
УИК №2035	1162	1080	0	690	43	347	43	690	26	707	0	0	156	489	39	23
УИК №2036	552	505	111	227	6	161	117	227	24	320	0	0	93	201	12	14
УИК №2037	409	380	0	246	11	123	11	246	12	245	0	0	72	142	16	15
УИК №2038	798	745	0	577	24	144	24	577	23	578	0	0	118	417	21	22
УИК №2039	1189	1110	0	479	65	566	65	479	35	509	0	0	102	356	35	16
УИК №2040	1021	925	0	606	80	239	80	606	23	663	0	0	106	492	45	20
УИК №2041	702	675	0	425	21	229	21	425	30	416	0	0	96	280	17	23
УИК №2080	117	150	0	98	16	36	16	98	5	109	0	0	19	78	7	5
УИК №2081	106	300	0	94	0	206	0	94	0	94	0	0	2	91	0	1
УИК №2101	469	450	0	196	6	248	6	196	14	188	0	0	49	125	4	10
УИК №2102	378	350	0	158	2	190	2	158	12	148	0	0	37	100	5	6
УИК №2103	712	700	0	279	12	409	12	279	28	263	0	0	102	134	10	17
УИК №2104	85	80	0	30	3	47	3	30	2	31	0	0	7	19	3	2
УИК №2105	185	150	17	83	5	45	22	83	4	101	0	0	18	79	2	2
УИК №2106	81	75	0	48	3	24	3	48	0	51	0	0	6	37	4	4
УИК №2107	262	250	0	109	24	117	24	109	9	124	0	0	33	76	13	2
