Число избирателей, внесенных в список на момент окончания голосования	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования в день голосования	Число  погашенных избирательных бюллетеней	Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования	Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Андрейченко Андрей Валерьевич	Кожемяко Олег Николаевич	Тимченко Алексей Павлович	Чемерис Роза Басировна
УИК №525	2665	1800	0	798	220	782	220	798	37	981	0	0	374	471	95	41
УИК №526	1696	1300	0	593	8	699	8	593	16	585	0	0	148	421	11	5
УИК №527	1904	1350	0	710	7	633	7	710	41	676	0	0	276	311	55	34
УИК №528	2225	1600	0	603	6	991	6	603	12	597	0	0	152	429	11	5
УИК №529	2337	1700	0	741	2	957	2	740	40	702	0	0	299	305	71	27
УИК №530	1993	1400	0	654	5	741	5	653	14	644	0	0	163	463	12	6
УИК №531	1633	1200	0	505	1	694	1	505	7	499	0	0	127	359	9	4
УИК №532	2156	1600	0	738	9	853	9	738	17	730	0	0	184	525	14	7
УИК №533	2170	1550	0	650	14	886	14	648	48	614	0	0	266	268	45	35
УИК №534	2018	1400	0	728	14	658	14	728	47	695	0	0	254	337	71	33
УИК №535	2381	1700	0	813	4	883	4	813	19	798	0	0	350	358	55	35
УИК №536	2076	1500	0	697	62	741	62	697	28	731	0	0	322	300	62	47
УИК №537	2105	1500	0	847	10	643	10	847	37	820	0	0	331	361	78	50
УИК №538	2121	1500	0	825	23	652	23	823	36	810	0	0	324	359	85	42
УИК №539	2321	1700	0	590	17	1093	17	590	30	577	0	0	255	221	65	36
УИК №540	2235	1600	0	596	14	990	14	596	22	588	0	0	236	271	45	36
УИК №541	892	600	0	330	7	263	7	330	16	321	0	0	111	155	37	18
УИК №542	2250	1600	0	758	4	838	4	757	36	725	0	0	314	323	56	32
УИК №543	2536	1800	0	750	12	1038	12	750	37	725	0	0	328	284	72	41
УИК №544	2359	1700	0	653	15	1032	15	653	27	641	0	0	316	239	54	32
УИК №545	1911	1300	0	545	3	752	3	545	19	529	0	0	244	203	55	27
УИК №546	871	650	0	315	3	332	3	315	5	313	0	0	79	225	6	3
УИК №547	1503	1100	0	563	23	514	23	563	17	569	0	0	204	301	47	17
УИК №548	2122	1550	0	680	4	866	4	680	8	676	0	0	171	486	13	6
УИК №549	2600	1800	0	1320	16	464	16	1320	34	1302	0	0	326	937	26	13
УИК №550	1975	1400	0	734	0	666	0	734	22	712	0	0	320	320	55	17
УИК №551	2595	1800	0	969	3	828	3	969	49	923	0	0	353	432	86	52
УИК №552	2929	2150	0	992	4	1154	4	992	12	984	0	0	248	708	19	9
УИК №553	1341	1000	0	474	0	526	0	472	22	450	0	0	156	240	35	19
УИК №554	2027	1500	0	610	7	883	7	610	16	601	0	0	151	432	12	6
УИК №555	1053	800	0	488	15	297	15	487	31	471	0	0	143	250	39	39
УИК №556	1619	1100	0	428	0	672	0	428	23	405	0	0	202	127	52	24
УИК №580	629	635	0	629	0	6	0	629	77	552	0	0	138	334	42	38
УИК №5401	252	254	0	252	0	2	0	252	5	247	0	0	9	229	6	3
УИК №5402	305	307	0	294	0	13	0	294	0	294	0	0	24	249	6	15
УИК №601	2178	1800	0	727	7	1066	7	727	31	703	0	0	315	285	75	28
УИК №602	1908	1700	0	478	1	1221	1	476	16	461	0	0	228	189	25	19
УИК №603	2413	2000	0	1204	16	780	16	1204	29	1191	0	0	145	1012	23	11
УИК №604	2044	2000	0	660	6	1334	6	660	34	632	0	0	254	287	46	45
УИК №605	1847	1500	0	573	2	925	2	573	28	547	0	0	243	219	54	31
УИК №606	1995	1800	0	672	9	1119	9	672	24	657	0	0	286	277	72	22
УИК №607	2301	2000	0	789	5	1206	5	789	9	785	0	0	167	596	15	7
УИК №608	1589	1300	0	553	1	746	1	553	20	534	0	0	210	244	42	38
УИК №609	2372	2200	0	870	4	1326	4	870	39	835	0	0	365	364	84	22
УИК №610	2770	2500	0	1033	10	1457	10	1032	16	1026	0	0	217	779	20	10
УИК №611	2532	2100	0	759	8	1333	8	759	16	751	0	0	159	570	15	7
УИК №612	1994	1800	0	685	17	1098	17	685	24	678	0	0	321	259	56	42
УИК №613	2263	2000	0	780	23	1197	23	780	35	768	0	0	147	576	30	15
