УИК №495	2497	2000	588	7	1405	7	588	6	589	0	0		66	478	45
УИК №496	1819	1500	464	5	1031	5	462	23	444	0	0		94	266	84
УИК №497	1942	1500	481	6	1013	6	481	16	471	0	0		103	285	83
УИК №498	2283	2000	521	2	1477	2	521	29	494	0	0		105	298	91
УИК №499	2542	2000	549	25	1426	25	538	32	531	0	0		96	338	97
УИК №500	2569	2000	466	7	1527	7	466	7	466	0	0		90	274	102
УИК №501	1676	1500	508	12	980	12	507	13	506	0	0		100	333	73
УИК №502	2846	2500	728	26	1746	26	719	9	736	0	0		149	453	134
УИК №503	3035	2500	736	21	1743	21	687	24	684	0	0		206	347	131
УИК №504	2480	2000	613	6	1381	6	612	14	604	0	0		89	453	62
УИК №505	2595	2000	738	25	1237	25	738	16	747	0	0		111	532	104
УИК №506	2790	2000	702	9	1289	9	692	19	682	0	0		150	392	140
УИК №507	117	135	67	47	21	47	67	4	110	0	0		22	72	16
УИК №508	418	450	278	85	87	85	278	9	354	0	0		22	291	41
УИК №509	3402	4000	2918	0	1082	0	2918	77	2841	0	0		249	2045	547
УИК №2314	551	650	280	52	318	52	279	3	328	0	0		23	287	18
УИК №2315	375	500	112	42	346	42	112	3	151	0	0		6	136	9
УИК №2357	200	200	182	13	5	13	182	0	195	0	0		7	183	5
УИК №2358	451	500	265	184	51	184	265	3	446	0	0		23	391	32
															
УИК №576	1805	1500	466	9	1025	9	463	19	453	0	0		93	255	105
УИК №577	1735	1500	425	61	1014	61	425	15	471	0	0		97	279	95
УИК №578	1645	1500	344	14	1142	14	344	6	352	0	0		72	197	83
УИК №579	1708	1500	456	3	1041	3	454	16	441	0	0		106	261	74
УИК №580	2069	1500	426	6	1068	6	426	12	420	0	0		83	246	91
УИК №581	1874	1500	458	1	1041	1	456	9	448	0	0		101	273	74
УИК №582	1580	1000	535	18	447	18	534	31	521	0	0		95	347	79
УИК №583	2089	2000	505	13	1482	13	505	14	504	0	0		75	348	81
УИК №584	2045	2000	430	8	1562	8	429	10	427	0	0		73	276	78
УИК №585	1773	1500	485	6	1009	6	485	20	471	0	0		92	283	96
УИК №586	1542	1100	452	5	643	5	447	10	442	0	0		30	367	45
УИК №587	1527	2000	583	31	1386	31	552	19	564	0	0		91	414	59
УИК №588	1771	1500	538	6	956	6	518	22	502	0	0		72	337	93
УИК №589	1868	1500	561	8	931	8	553	23	538	0	0		69	380	89
УИК №590	1046	1000	335	0	665	0	317	14	303	0	0		37	187	79
УИК №591	2271	2000	740	13	1247	13	734	51	696	0	0		92	488	116
УИК №592	1338	1000	338	6	656	6	337	5	338	0	0		81	187	70
УИК №593	2318	2000	580	5	1415	5	580	22	563	0	0		131	315	117
УИК №594	1443	1100	389	11	700	11	389	16	384	0	0		114	207	63
УИК №595	1398	1100	373	14	713	14	373	5	382	0	0		84	226	72
УИК №596	1629	1500	426	9	1065	9	426	13	422	0	0		100	261	61
УИК №597	2035	2000	454	10	1536	10	452	13	449	0	0		82	279	88
УИК №598	2179	2000	513	13	1474	13	512	6	519	0	0		126	293	100
УИК №599	1297	1000	309	5	686	5	308	3	310	0	0		65	173	72
УИК №600	1033	1000	283	1	716	1	283	9	275	0	0		58	157	60
УИК №601	1486	1200	328	11	861	11	328	10	329	0	0		98	172	59
УИК №602	1436	1100	345	5	750	5	345	3	347	0	0		58	201	88
УИК №603	2543	2000	588	13	1399	13	587	22	578	0	0		134	330	114
УИК №604	2604	2000	683	17	1300	17	679	21	675	0	0		109	426	140
УИК №605	1493	1500	422	11	1067	11	422	15	418	0	0		88	246	84
УИК №606	1485	1100	401	3	696	3	400	10	393	0	0		91	224	78
УИК №607	1552	1500	372	11	1117	11	372	9	374	0	0		68	236	70
УИК №608	1616	1500	383	3	1114	3	383	18	368	0	0		38	251	79
УИК №609	1531	1500	353	9	1138	9	353	10	352	0	0		54	224	74
УИК №610	1427	1500	365	7	1128	7	365	9	363	0	0		55	239	69
УИК №611	1717	1500	472	5	1023	5	470	21	454	0	0		82	284	88
УИК №612	1591	1500	375	11	1114	11	375	6	380	0	0		35	300	45
УИК №613	1468	1500	427	8	1065	8	427	12	423	0	0		63	281	79
УИК №614	1570	1500	377	6	1117	6	377	15	368	0	0		75	228	65
УИК №615	1465	1500	380	4	1116	4	379	14	369	0	0		31	299	39
УИК №616	2547	2000	682	12	1306	12	678	30	660	0	0		120	430	110
УИК №617	2479	2000	583	9	1408	9	583	14	578	0	0		83	424	71
УИК №618	2015	2000	516	11	1473	11	507	14	504	0	0		86	340	78
УИК №619	2448	2500	547	7	1946	7	547	14	540	0	0		105	378	57
УИК №620	2291	2000	603	12	1385	12	599	14	597	0	0		89	439	69
УИК №621	1680	1500	398	29	1073	29	396	14	411	0	0		63	273	75
УИК №622	1747	1500	497	11	992	11	497	10	498	0	0		59	376	63
УИК №623	1684	1500	499	7	994	7	499	18	488	0	0		58	365	65
УИК №624	1862	1500	468	6	1026	6	468	14	460	0	0		87	284	89
УИК №625	1805	1500	463	7	1030	7	463	12	458	0	0		66	302	90
УИК №626	1589	1500	402	9	1089	9	402	9	402	0	0		53	296	53
УИК №627	1615	1500	402	3	1095	3	402	0	405	0	0		52	303	50
УИК №628	1983	2000	500	11	1489	11	500	20	491	0	0		58	383	50
УИК №629	2051	1500	476	14	1010	14	468	14	468	0	0		65	327	76
УИК №630	1796	1500	465	9	1026	9	465	15	459	0	0		69	318	72
УИК №631	1676	2000	550	5	1445	5	547	19	533	0	0		98	367	68
УИК №632	2195	2000	561	11	1428	11	556	31	536	0	0		51	424	61
УИК №645	250	250	28	189	33	189	28	5	212	0	0		20	171	21
															
УИК №826	2683	2500	629	6	1865	6	629	29	606	0	0		101	343	162
УИК №827	1966	1500	445	14	1041	14	443	5	452	0	0		52	336	64
УИК №828	1903	1500	521	19	960	19	520	13	526	0	0		50	405	71
УИК №829	2005	2000	507	17	1476	17	507	12	512	0	0		42	393	77
УИК №830	2028	2000	572	16	1412	16	571	13	574	0	0		68	421	85
УИК №831	2235	2000	571	10	1419	10	571	18	563	0	0		64	427	72
УИК №832	1995	1500	534	6	960	6	533	8	531	0	0		58	415	58
УИК №833	2051	2000	564	2	1434	2	564	13	553	0	0		60	426	67
УИК №834	1885	1500	513	10	977	10	511	15	506	0	0		39	401	66
УИК №835	2531	2500	655	10	1835	10	655	12	653	0	0		77	491	85
УИК №836	2256	2000	610	10	1380	10	610	18	602	0	0		71	447	84
УИК №837	2425	2000	533	6	1461	6	533	18	521	0	0		39	419	63
УИК №838	2166	2000	612	8	1380	8	610	20	598	0	0		69	442	87
УИК №839	2395	2000	645	9	1346	9	645	12	642	0	0		69	469	104
УИК №840	2302	2000	683	10	1307	10	683	22	671	0	0		86	481	104
УИК №841	2071	2000	620	9	1371	9	620	9	620	0	0		55	482	83
УИК №842	2239	2000	619	17	1364	17	617	14	620	0	0		92	429	99
УИК №843	1283	1000	293	8	699	8	293	11	290	0	0		26	228	36
УИК №844	2560	2500	713	8	1779	8	710	23	695	0	0		69	536	90
УИК №845	2385	2000	711	15	1274	15	711	20	706	0	0		69	553	84
УИК №846	2291	2000	599	14	1387	14	598	22	590	0	0		85	393	112
УИК №847	2301	2000	635	8	1357	8	635	18	625	0	0		71	455	99
УИК №848	1980	1500	458	11	1031	11	458	17	452	0	0		54	334	64
УИК №849	2284	2000	568	9	1423	9	568	10	567	0	0		64	396	107
