УИК №547	1505	1000	0	349	6	645	6	349	12	343	0	0	34	98	25	156	30
УИК №548	2164	1500	0	400	1	1099	1	400	11	390	0	0	32	152	42	133	31
УИК №549	2602	1800	0	468	3	1329	3	468	7	464	0	0	45	172	36	164	47
УИК №550	1941	1400	0	429	1	970	1	429	7	423	0	0	45	142	32	166	38
УИК №551	2535	1800	0	500	2	1298	2	500	15	487	0	0	57	159	39	173	59
УИК №552	2873	2100	0	520	2	1578	2	520	14	508	0	0	53	209	39	162	45
УИК №553	1337	1000	0	277	3	720	3	277	6	274	0	0	31	77	28	108	30
УИК №554	2008	1500	0	303	0	1197	0	303	12	291	0	0	35	110	18	104	24
УИК №555	1141	700	0	394	4	302	4	394	13	385	0	0	62	92	26	133	72
УИК №556	1680	1100	0	309	0	791	0	308	13	295	0	0	29	113	17	101	35
УИК №580	659	665	0	659	0	6	0	659	71	588	0	0	101	78	29	245	135
																	
УИК №601	2186	2100	0	459	3	1638	3	459	8	454	0	0	62	153	28	171	40
УИК №602	1914	1800	0	271	2	1527	2	270	9	263	0	0	20	100	19	97	27
УИК №603	2417	2300	0	369	7	1924	7	369	9	367	0	0	52	120	31	125	39
УИК №604	2074	2000	0	396	3	1601	3	396	5	394	0	0	44	146	30	142	32
УИК №605	1834	1700	0	323	2	1375	2	323	8	317	0	0	29	116	26	118	28
УИК №606	1975	1800	0	386	4	1410	4	386	8	382	0	0	36	118	28	150	50
УИК №607	2297	2100	0	479	2	1619	2	478	12	468	0	0	38	150	46	181	53
УИК №608	1586	1500	0	347	1	1152	1	347	5	343	0	0	23	124	23	128	45
УИК №609	2376	2200	0	531	0	1669	0	531	24	507	0	0	52	180	31	194	50
УИК №610	2784	2700	0	605	3	2092	3	605	12	596	0	0	61	187	53	224	71
УИК №611	2546	2500	0	436	11	2053	11	436	13	434	0	0	61	135	37	159	42
УИК №612	1990	2000	0	394	4	1602	4	394	12	386	0	0	46	148	31	119	42
УИК №613	2261	2100	0	450	3	1647	3	450	14	439	0	0	43	167	30	150	49
УИК №614	1754	1600	0	254	1	1345	1	254	3	252	0	0	28	96	26	70	32
УИК №615	1618	1500	0	324	6	1170	6	324	9	321	0	0	30	119	23	118	31
УИК №616	2541	2500	0	425	4	2071	4	425	19	410	0	0	52	143	38	132	45
УИК №617	1635	1500	0	357	6	1137	6	357	3	360	0	0	37	142	18	136	27
УИК №618	2350	2200	0	435	2	1763	2	435	11	426	0	0	55	137	31	157	46
УИК №619	2448	2300	0	454	5	1841	5	454	6	453	0	0	39	155	32	180	47
УИК №620	1942	1800	0	398	6	1396	6	398	10	394	0	0	51	146	25	135	37
УИК №621	2240	2100	0	496	3	1601	3	496	11	488	0	0	51	159	31	197	50
УИК №622	1892	1800	0	398	6	1396	6	398	10	394	0	0	53	135	26	151	29
УИК №623	1610	1500	0	350	5	1145	5	350	5	350	0	0	52	119	17	128	34
УИК №624	1316	1200	0	257	0	943	0	257	6	251	0	0	20	89	21	94	27
УИК №625	1786	1700	0	345	2	1353	2	345	7	340	0	0	53	96	36	117	38
УИК №626	1584	1500	0	228	1	1271	1	228	5	224	0	0	22	76	18	83	25
УИК №627	2581	2500	0	428	5	2067	5	428	11	422	0	0	42	145	26	160	49
УИК №628	1359	1300	0	291	2	1007	2	291	9	284	0	0	21	108	22	100	33
УИК №629	2543	2500	0	488	8	2004	8	488	9	487	0	0	56	173	31	181	46
УИК №630	2128	2000	0	315	1	1684	1	315	7	309	0	0	38	127	15	101	28
УИК №631	2222	2100	0	465	3	1632	3	465	12	456	0	0	51	163	37	158	47
УИК №632	2068	2000	0	373	9	1618	9	373	4	378	0	0	38	148	18	133	41
УИК №633	1522	1500	0	276	8	1216	8	276	4	280	0	0	32	94	28	96	30
УИК №634	1759	1700	0	549	0	1151	0	549	19	530	0	0	86	149	32	162	101
УИК №635	1700	1600	0	315	3	1282	3	315	8	310	0	0	36	120	27	83	44
УИК №636	2187	2100	0	355	0	1745	0	355	9	346	0	0	47	113	27	111	48
УИК №637	2036	2000	0	301	5	1694	5	301	7	299	0	0	34	112	24	91	38
УИК №638	1501	1400	0	325	0	1075	0	325	14	311	0	0	42	107	23	102	37
УИК №639	2180	2100	0	405	7	1688	7	405	9	403	0	0	49	129	43	140	42
УИК №640	2360	2300	0	496	1	1803	1	496	11	486	0	0	38	217	37	170	24
УИК №641	2205	2100	0	397	5	1698	5	397	11	391	0	0	44	159	25	122	41
УИК №642	2138	2000	0	272	4	1724	4	272	3	273	0	0	33	104	22	90	24
УИК №643	2291	2200	0	332	0	1868	0	332	10	322	0	0	32	138	14	102	36
УИК №644	2523	2500	0	372	1	2127	1	372	6	367	0	0	42	150	22	118	35
УИК №645	1714	1600	0	280	4	1316	4	280	9	275	0	0	30	112	20	83	30
УИК №646	2074	2000	0	454	5	1541	5	453	10	448	0	0	59	179	24	136	50
УИК №647	2277	2200	0	473	4	1723	4	473	5	472	0	0	68	188	24	150	42
УИК №648	1057	1000	0	177	41	782	41	177	14	204	0	0	14	46	13	106	25
УИК №649	2603	2500	0	489	2	2009	2	489	22	469	0	0	58	176	39	148	48
УИК №650	2308	2200	0	355	3	1842	3	355	11	347	0	0	39	125	27	117	39
УИК №651	2010	2000	0	457	1	1542	1	457	16	442	0	0	59	154	33	120	76
УИК №652	1653	1500	0	872	8	620	8	872	19	861	0	0	140	127	42	431	121
УИК №653	1527	1500	0	318	2	1180	2	318	3	317	0	0	22	140	17	112	26
УИК №654	1733	1600	0	307	4	1289	4	307	8	303	0	0	35	108	28	99	33
УИК №680	154	154	0	153	0	1	0	153	2	151	0	0	20	27	10	71	23
УИК №681	170	172	0	170	0	2	0	170	1	169	0	0	4	33	1	116	15
УИК №682	192	194	0	191	0	3	0	191	3	188	0	0	14	25	11	116	22
УИК №5502	121	123	0	121	0	2	0	121	1	120	0	0	13	26	4	52	25
УИК №5503	113	115	0	113	0	2	0	113	0	113	0	0	5	11	4	85	8
УИК №5504	119	123	0	119	0	4	0	119	3	116	0	0	10	30	8	32	36
УИК №5505	43	45	0	43	0	2	0	43	0	43	0	0	0	0	0	43	0
УИК №5506	37	39	0	37	0	2	0	37	0	37	0	0	0	0	0	37	0
УИК №5507	44	46	0	44	0	2	0	44	0	44	0	0	0	0	0	44	0
УИК №5511	37	39	0	37	0	2	0	37	4	33	0	0	5	9	1	14	4
УИК №5512	43	45	0	43	0	2	0	43	0	43	0	0	0	1	2	39	1
																	
УИК №701	1927	1800	0	477	8	1315	8	477	8	477	0	0	41	173	35	180	48
УИК №702	2072	2000	0	407	2	1591	2	407	9	400	0	0	36	155	35	135	39
УИК №703	1949	1800	0	424	2	1374	2	424	6	420	0	0	34	161	38	148	39
УИК №704	1605	1500	0	321	1	1178	1	321	4	318	0	0	30	117	23	126	22
УИК №705	2159	2100	0	356	2	1742	2	356	10	348	0	0	40	136	28	105	39
УИК №706	2419	2300	0	560	5	1735	5	560	10	555	0	0	70	187	35	208	55
УИК №707	2188	2100	0	461	3	1636	3	460	15	448	0	0	46	177	28	155	42
УИК №708	2361	2100	0	667	5	1428	5	667	29	643	0	0	78	225	62	198	80
УИК №709	1990	1900	0	405	0	1495	0	405	10	395	0	0	40	131	24	152	48
УИК №710	2129	2100	0	328	9	1763	9	328	6	331	0	0	40	115	27	121	28
УИК №711	2238	2200	0	484	8	1708	8	484	7	485	0	0	49	167	31	189	49
УИК №712	2420	2300	0	554	6	1740	6	554	10	550	0	0	50	183	52	209	56
УИК №713	1728	1700	0	405	11	1284	11	405	8	408	0	0	42	144	31	157	34
УИК №714	1647	1600	0	365	3	1232	3	364	8	359	0	0	26	114	43	145	31
УИК №715	1629	1600	0	347	6	1247	6	347	6	347	0	0	43	101	32	134	37
УИК №716	1805	1700	0	440	5	1255	5	439	11	433	0	0	35	151	35	165	47
УИК №717	2099	1900	0	395	3	1502	3	395	14	384	0	0	39	107	24	172	42
УИК №718	1299	1100	0	363	3	734	3	363	15	351	0	0	56	90	34	122	49
УИК №719	1878	1700	0	359	5	1336	5	359	10	354	0	0	28	97	28	158	43
УИК №720	1841	1800	0	494	2	1304	2	494	6	490	0	0	42	194	45	165	44
УИК №721	1596	1500	0	328	7	1165	7	328	6	329	0	0	27	117	28	115	42
УИК №722	1438	1300	0	385	11	904	11	385	5	391	0	0	32	139	23	158	39
УИК №723	2641	2400	0	549	11	1840	11	549	12	548	0	0	61	163	50	215	59
УИК №724	2753	2500	0	693	8	1799	8	691	10	689	0	0	63	201	66	279	80
УИК №725	2287	2100	0	483	5	1612	5	483	4	484	0	0	39	142	35	213	55
УИК №726	2443	2200	0	577	7	1616	7	577	14	570	0	0	52	197	47	218	56
УИК №727	2220	2000	0	590	6	1404	6	590	16	580	0	0	48	175	50	257	50
УИК №728	1385	1300	0	271	2	1027	2	271	41	232	0	0	23	84	17	91	17
УИК №729	2291	2100	0	562	7	1531	7	561	5	563	0	0	55	174	51	222	61
УИК №730	1998	1800	0	463	6	1331	6	463	16	453	0	0	22	155	49	182	45
УИК №731	1981	1800	0	456	2	1342	2	456	7	451	0	0	36	138	35	198	44
УИК №732	1703	1600	0	368	3	1229	3	368	12	359	0	0	43	122	18	140	36
УИК №733	1942	1800	0	441	4	1355	4	441	3	442	0	0	49	150	36	169	38
УИК №734	1517	1300	0	289	10	1001	10	289	6	293	0	0	41	98	29	96	29
УИК №735	2544	2400	0	539	4	1857	4	539	12	531	0	0	52	190	57	178	54
УИК №736	1962	1800	0	337	6	1457	6	337	8	335	0	0	38	110	27	131	29
УИК №737	1927	1800	0	412	0	1388	0	412	12	400	0	0	37	127	45	144	47
УИК №738	1828	1700	0	329	4	1367	4	329	6	327	0	0	40	112	32	109	34
УИК №739	1711	1600	0	335	3	1262	3	335	10	328	0	0	28	111	35	116	38
УИК №740	1944	1800	0	392	1	1407	1	392	8	385	0	0	40	129	36	145	35
УИК №741	2800	2700	0	466	0	2234	0	466	11	455	0	0	56	156	37	149	57
УИК №742	2458	2200	0	370	6	1824	6	370	9	367	0	0	39	127	22	149	30
УИК №743	2162	2000	0	377	2	1621	2	377	10	369	0	0	41	123	38	137	30
УИК №744	1917	1800	0	406	0	1394	0	406	4	402	0	0	55	145	35	140	27
УИК №745	1970	1700	0	860	1	839	1	860	21	840	0	0	152	171	62	278	177
УИК №746	2039	1900	0	303	2	1595	2	303	15	290	0	0	35	113	16	80	46
УИК №747	2854	2800	0	711	0	2089	0	711	19	692	0	0	103	172	57	265	95
УИК №748	2822	2800	0	643	0	2157	0	643	23	620	0	0	90	178	63	209	80
УИК №749	2826	2800	0	839	0	1961	0	839	22	817	0	0	141	215	58	281	122
УИК №750	2799	2600	0	775	0	1825	0	775	17	758	0	0	100	225	44	293	96
																	
УИК №801	614	600	0	123	2	475	2	123	6	119	0	0	17	39	9	28	26
УИК №802	2748	2600	0	440	11	2149	11	440	13	438	0	0	60	155	30	146	47
УИК №803	1825	1700	0	421	1	1278	1	421	10	412	0	0	34	138	25	158	57
УИК №804	2510	2000	0	406	2	1592	2	405	5	402	0	0	20	23	33	307	19
УИК №805	1907	1800	0	349	3	1448	3	349	18	334	0	0	34	131	29	99	41
УИК №806	1911	1800	0	389	3	1408	3	389	13	379	0	0	47	138	24	125	45
УИК №807	2082	2000	0	410	4	1586	4	410	17	397	0	0	42	147	31	127	50
УИК №808	2714	2600	0	432	2	2166	2	432	4	430	0	0	54	182	34	97	63
УИК №809	1437	1400	0	318	4	1078	4	318	14	308	0	0	30	107	24	112	35
УИК №810	2217	2100	0	394	19	1687	19	394	10	403	0	0	40	61	32	233	37
УИК №811	660	600	0	120	39	441	39	120	5	154	0	0	15	49	13	62	15
УИК №812	719	700	0	206	0	494	0	206	7	199	0	0	20	55	13	84	27
УИК №813	1618	1600	0	381	0	1219	0	381	8	373	0	0	45	102	11	170	45
УИК №814	1939	1900	0	339	2	1559	2	339	9	332	0	0	33	111	37	116	35
