	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число полученных открепительных  удостоверений	Число открепительных удостоверений, выданных избирателям на избирательном участке	Число избирателей, проголосовавших по открепительным удостоверениям	Число неиспользованных открепительных удостоверений	Число открепительных удостоверений, выданных избирателям ТИК	Число утраченных открепительных удостоверений	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Жириновский Владимир Вольфович	Зюганов Геннадий Андреевич	Миронов Сергей Михайлович	Прохоров Михаил Дмитриевич	Путин Владимир Владимирович
УИК №2420	2002	1900	0	1169	22	709	22	1147	25	1144	40	40	44	0	8	0	0	0	85	240	50	203	566
УИК №2421	2153	2000	0	1111	46	843	46	1101	29	1118	40	40	32	0	6	0	0	0	65	215	51	231	556
УИК №2422	1690	1600	0	1036	33	531	33	1027	35	1025	50	32	31	18	2	0	0	0	54	212	66	278	415
УИК №242	2751	2700	0	1417	54	1229	54	1411	19	1446	60	59	27	1	1	0	0	0	102	293	83	264	704
УИК №2423	1736	1700	0	1021	27	652	27	1021	15	1033	50	41	16	9	6	0	0	0	54	231	68	197	483
УИК №2424	2161	2100	0	1212	65	823	65	1209	29	1245	50	49	27	1	11	0	0	0	61	260	53	222	649
УИК №2425	954	600	0	377	121	102	121	377	7	491	30	22	35	8	0	0	0	0	35	77	19	71	289
УИК №2426	3049	2500	0	1707	19	774	19	1705	29	1695	50	41	32	9	0	0	0	0	139	356	96	243	861
УИК №2427	2382	2000	0	1197	44	759	44	1190	19	1215	65	54	50	11	0	0	0	0	103	241	60	175	636
УИК №2428	2852	2300	0	1443	78	779	78	1442	32	1488	50	42	44	8	1	0	0	0	90	331	78	216	773
УИК №2429	3166	2300	0	1586	82	632	82	1586	25	1643	70	56	81	14	0	0	0	0	116	349	73	272	833
УИК №2430	2992	2400	0	1613	80	707	80	1608	18	1670	50	44	65	6	0	0	0	0	102	359	71	312	826
УИК №2431	1338	1100	0	743	44	313	43	742	8	777	35	33	30	2	0	0	0	0	41	137	42	227	330
УИК №2432	2138	1760	0	1212	62	486	62	1207	38	1231	50	47	82	3	2	0	0	0	60	235	76	406	454
УИК №243	2783	2700	0	1460	67	1173	67	1456	31	1492	80	76	41	4	1	0	0	0	122	277	77	274	742
УИК №2433	1750	1400	0	949	48	403	48	947	24	971	43	38	30	5	1	0	0	0	50	174	52	330	365
УИК №2434	1495	1200	0	848	28	324	28	846	19	855	30	27	22	3	2	0	0	0	38	165	51	253	348
УИК №2435	2015	1560	0	1059	38	463	38	1059	16	1081	51	51	41	0	3	0	0	0	67	216	52	271	475
УИК №2436	2005	1470	0	1162	37	271	37	1162	31	1168	34	32	127	2	0	0	0	0	72	202	65	302	527
УИК №2437	2039	1770	0	1600	39	131	39	1600	41	1598	32	32	36	0	5	0	0	0	108	291	89	532	578
УИК №2438	2216	1750	0	1267	50	433	50	1249	21	1278	50	46	45	4	0	0	0	0	60	253	69	409	487
УИК №2439	1982	1500	0	1071	30	399	30	1068	36	1062	46	45	41	1	0	0	0	0	34	190	58	325	455
УИК №2440	1916	1500	0	1062	39	399	39	1059	30	1068	50	44	43	6	0	0	0	0	44	236	62	286	440
УИК №2441	2315	1820	0	1367	40	413	40	1362	24	1378	60	58	73	2	1	0	0	0	63	267	69	455	524
УИК №2442	2500	1980	0	1436	56	488	56	1427	28	1455	50	44	60	6	4	0	0	0	69	303	76	441	566
УИК №244	2688	2700	0	1502	60	1138	60	1496	28	1528	70	63	23	7	2	0	0	0	107	302	72	282	765
УИК №2443	1886	1460	0	1084	43	333	43	1076	27	1092	45	41	50	4	0	0	0	0	77	198	77	270	470
УИК №2444	1834	1400	0	1081	60	259	60	1078	24	1114	50	40	37	10	0	0	0	0	45	328	34	301	406
УИК №2445	1187	1030	0	745	33	252	33	743	11	765	50	40	122	10	0	0	0	0	21	190	38	181	335
УИК №2446	1778	1340	0	1069	42	229	42	1067	29	1080	50	49	41	1	0	0	0	0	36	233	56	306	449
УИК №2447	2276	1820	0	1313	52	455	52	1313	32	1333	55	53	145	2	1	0	0	0	55	280	71	313	614
УИК №2448	2058	1580	0	1196	67	317	67	1191	18	1240	50	44	47	6	0	0	0	0	61	234	73	390	482
УИК №2449	2105	1520	0	1200	39	281	39	1200	32	1207	40	40	67	0	0	0	0	0	42	224	63	403	475
УИК №2450	2035	1650	0	1138	71	441	71	1129	36	1164	60	58	24	2	0	0	0	0	41	264	85	353	421
УИК №2451	2819	2500	0	1610	53	837	53	1602	49	1606	50	44	20	6	1	0	0	0	78	346	76	452	654
УИК №2452	2860	2500	0	1616	38	846	38	1596	30	1604	70	62	40	8	0	0	0	0	100	324	64	428	688
УИК №245	2696	2700	0	1394	56	1250	56	1391	29	1418	90	82	32	8	3	0	0	0	99	276	63	291	689
УИК №2453	2956	2600	0	1670	41	889	41	1656	40	1657	60	55	43	5	1	0	0	0	82	364	99	387	725
УИК №2454	2665	2300	0	1527	30	743	30	1527	39	1518	50	42	43	8	0	0	0	0	81	377	62	320	678
УИК №2455	2301	2000	0	1355	30	615	30	1353	43	1340	60	47	16	13	1	0	0	0	59	320	70	339	552
УИК №2456	2420	2100	0	1404	35	661	35	1397	20	1412	50	41	29	9	0	0	0	0	82	313	73	312	632
УИК №2457	2414	2100	0	1473	31	596	31	1471	27	1475	50	46	20	4	1	0	0	0	101	256	85	318	715
УИК №2458	2239	2000	0	1307	37	656	37	1307	25	1319	60	30	40	30	1	0	0	0	58	264	78	338	581
УИК №2459	2055	1800	0	1398	22	380	22	1394	17	1399	80	73	25	7	0	0	0	0	100	261	51	276	711
УИК №2460	2681	2400	0	1588	44	768	44	1582	27	1599	50	37	32	13	0	0	0	0	82	309	90	449	669
УИК №2461	2352	2100	0	1421	28	651	28	1419	35	1412	60	50	53	10	1	0	0	0	67	293	75	370	607
УИК №2462	2464	2400	0	1504	45	851	45	1500	27	1518	60	53	31	7	2	0	0	0	80	317	68	419	634
УИК №246	2413	2400	0	1285	30	1085	30	1283	24	1289	50	44	59	6	0	0	0	0	90	255	78	291	575
УИК №2463	2945	2600	0	1764	60	776	60	1756	33	1783	50	46	21	4	0	0	0	0	89	417	73	434	770
УИК №2464	2428	2100	0	1434	36	630	36	1429	32	1433	50	46	42	4	3	0	0	0	68	303	66	444	552
УИК №2465	3129	2600	0	1722	25	853	25	1722	37	1710	70	65	41	5	0	0	0	0	80	308	89	564	669
УИК №2466	2916	2500	0	1714	48	738	48	1706	37	1717	60	57	63	3	2	0	0	0	87	305	109	471	745
УИК №2467	2798	2500	0	1619	59	822	59	1615	55	1619	50	37	26	13	0	0	0	0	58	376	88	453	644
УИК №2468	2051	1900	0	1260	46	594	46	1260	42	1264	50	42	15	8	0	0	0	0	68	313	77	270	536
УИК №2469	2637	2300	0	1551	38	711	38	1548	36	1550	50	46	27	4	0	0	0	0	78	332	74	421	645
УИК №2470	2284	2000	0	1346	40	614	40	1341	27	1354	55	47	12	8	0	0	0	0	72	302	90	359	531
УИК №2471	2310	2000	0	1360	49	591	49	1356	34	1371	50	40	16	10	2	0	0	0	56	342	69	266	638
УИК №2472	1443	1200	0	766	22	412	22	766	22	766	50	27	34	23	0	0	0	0	42	152	46	244	282
УИК №247	2243	2200	0	1320	60	820	60	1315	39	1336	65	64	46	1	1	0	0	0	84	268	92	295	597
УИК №2473	2813	2600	0	1771	13	816	13	1764	33	1744	68	67	30	1	5	0	0	0	79	458	64	429	714
УИК №2474	1762	1600	0	982	24	594	24	980	19	985	35	27	33	8	0	0	0	0	57	204	65	252	407
УИК №2475	2390	2200	0	1230	29	941	29	1222	38	1213	62	62	26	0	0	0	0	0	74	244	72	271	552
УИК №2476	2520	2300	0	1450	47	803	47	1444	37	1454	55	47	9	8	0	0	0	0	55	413	90	352	544
УИК №2477	2198	2000	0	1327	56	617	56	1325	21	1360	40	31	39	9	0	0	0	0	78	298	70	334	580
УИК №2478	2565	2300	0	1445	29	826	29	1443	40	1432	90	83	46	7	1	0	0	0	124	256	72	283	697
УИК №2479	2038	2000	0	1212	29	759	29	1210	37	1202	55	47	41	8	1	0	0	0	82	214	70	221	615
УИК №2480	2053	2000	0	1167	32	801	32	1166	19	1179	60	51	36	9	0	0	0	0	86	215	56	227	595
УИК №2481	2704	2500	0	1650	25	825	25	1640	34	1631	68	68	21	0	1	0	0	0	76	466	77	332	680
УИК №2482	2646	2500	0	1672	11	817	11	1657	35	1633	74	69	42	5	1	0	0	0	66	421	62	426	658
УИК №248	2709	2600	0	1633	44	923	44	1621	44	1621	69	69	50	0	1	0	0	0	79	320	114	390	718
УИК №2483	2733	2300	0	1425	38	837	38	1423	30	1431	65	63	27	2	0	0	0	0	99	276	74	322	660
УИК №2484	2705	2500	0	1457	39	1004	39	1451	26	1464	85	83	39	2	3	0	0	0	114	284	74	351	641
УИК №2485	2076	2000	0	1214	27	759	27	1210	22	1215	45	40	12	5	0	0	0	0	62	276	51	234	592
УИК №2486	2565	2300	0	1320	34	946	34	1316	10	1340	55	50	27	5	1	0	0	0	102	269	61	263	645
УИК №2487	2596	2300	0	1331	27	942	27	1326	22	1331	55	49	30	6	0	0	0	0	95	272	81	294	589
УИК №2488	2164	2000	0	1174	32	793	32	1173	35	1170	50	39	18	11	1	0	1	0	68	271	72	283	476
УИК №2489	2753	2500	0	1522	38	940	38	1503	44	1497	50	45	26	5	0	0	0	0	90	306	92	322	687
УИК №2490	2652	2400	0	1364	28	1008	28	1360	33	1355	55	53	28	2	1	0	0	0	105	247	94	274	635
УИК №2491	2217	2000	0	1203	19	778	19	1200	21	1198	55	48	34	7	0	0	0	0	99	236	74	199	590
УИК №249	2183	2050	0	1238	67	745	67	1231	23	1275	60	38	65	22	3	0	0	0	56	286	74	322	537
УИК №2492	2655	2400	0	1406	25	969	25	1406	46	1385	65	51	22	14	2	0	0	0	76	281	72	301	655
УИК №2493	2848	2600	0	1549	33	1018	33	1543	36	1540	75	64	62	11	0	0	0	0	100	308	83	298	751
УИК №2494	1080	1000	0	556	22	422	22	556	14	564	30	27	8	3	0	0	0	0	36	108	25	135	260
УИК №2495	2407	2200	0	1415	57	728	57	1409	29	1437	65	57	45	8	1	0	0	0	73	275	71	399	619
УИК №2496	2204	2000	0	1052	64	884	64	1052	29	1087	55	47	52	8	1	0	0	0	74	199	58	226	530
УИК №2497	1805	1600	0	889	33	678	33	888	10	911	50	46	36	4	1	0	0	0	63	201	39	213	395
УИК №2498	2634	2400	0	1346	40	1014	40	1346	21	1365	65	65	23	0	0	0	0	0	97	286	52	264	666
УИК №2499	2551	2300	0	1320	51	929	50	1311	32	1329	52	51	22	1	2	0	0	0	83	264	82	268	632
УИК №2500	2568	2300	0	1309	35	956	35	1308	28	1315	48	46	33	2	1	0	0	0	87	259	76	285	608
УИК №2501	2838	2500	0	1601	39	860	39	1599	29	1609	64	60	68	4	0	0	0	0	86	336	92	509	586
УИК №2502	2726	2400	0	1524	48	828	48	1524	26	1546	56	56	64	0	0	0	0	0	93	282	76	381	714
УИК №250	2428	2250	0	1461	55	734	55	1461	25	1491	50	49	58	1	0	0	0	0	88	278	77	373	675
УИК №2503	2285	2000	0	1293	49	658	49	1282	31	1300	50	39	22	11	0	0	0	0	76	257	101	291	575
УИК №2504	2585	2400	0	1404	46	950	46	1399	34	1411	55	47	38	8	1	0	0	0	82	302	89	295	643
УИК №2505	2520	2200	0	1464	43	693	43	1459	32	1470	70	66	82	4	1	0	0	0	59	298	110	369	634
УИК №2506	2458	2200	0	1289	47	864	47	1287	30	1304	50	37	54	13	1	0	0	0	104	240	65	327	568
УИК №2507	2275	2000	0	1170	54	776	54	1163	20	1197	50	44	17	6	2	0	0	0	54	269	64	260	550
УИК №2508	1837	1600	0	1062	21	517	21	1061	24	1058	60	59	25	1	1	0	0	0	77	199	51	227	504
УИК №2509	1427	1300	0	759	20	521	20	757	16	761	35	34	21	1	0	0	0	0	67	135	51	166	342
УИК №2510	2494	2300	0	1471	42	787	42	1463	36	1469	53	48	29	5	1	0	0	0	84	293	114	343	635
УИК №2511	2861	2500	0	1661	58	781	58	1655	29	1684	70	60	41	10	4	0	0	0	85	356	73	391	779
УИК №2512	2443	2200	0	1183	52	965	52	1180	27	1205	70	63	26	7	0	0	0	0	71	274	58	270	532
УИК №251	2498	2300	0	1393	72	835	72	1390	28	1434	60	57	72	3	0	0	0	0	64	287	108	423	552
УИК №2513	1988	1800	0	1054	40	706	40	1054	24	1070	55	52	53	3	0	0	0	0	74	198	59	215	524
УИК №2514	2347	2000	0	1179	26	795	26	1179	32	1173	52	50	39	2	0	0	0	0	72	240	44	247	570
УИК №2515	2528	2200	0	1474	38	688	38	1468	37	1469	50	47	77	3	6	0	0	0	82	326	96	281	684
УИК №2516	2762	2500	0	1650	22	828	22	1650	35	1637	70	65	63	5	1	0	0	0	117	361	84	104	971
УИК №2517	2979	2600	0	1774	25	801	25	1771	29	1767	80	58	52	22	2	0	0	0	93	378	71	384	841
УИК №2518	2977	2500	0	1449	53	998	53	1449	12	1490	70	52	75	18	0	0	0	0	112	242	67	257	812
УИК №2519	2957	2500	0	1514	40	946	40	1511	36	1515	75	67	52	8	1	0	0	0	114	283	69	293	756
УИК №2520	2127	1800	0	1072	36	692	36	1072	31	1077	50	39	32	11	0	0	0	0	70	233	53	245	476
УИК №2521	2241	1800	0	1100	44	656	44	1091	21	1114	50	36	84	14	0	0	0	0	70	160	35	170	679
УИК №2522	2215	1900	0	1167	34	699	34	1166	30	1170	50	47	42	3	1	0	0	0	68	224	55	241	582
УИК №252	2266	2100	0	1314	42	744	42	1313	24	1331	50	40	91	10	1	0	0	0	68	279	76	345	563
УИК №2523	2138	1800	0	1155	50	595	50	1155	24	1181	50	38	43	12	0	0	0	0	48	236	47	167	683
УИК №2524	2054	1800	0	1108	39	653	39	1108	11	1136	50	45	39	5	0	0	0	0	119	223	68	206	520
УИК №2525	2137	1800	0	1114	52	634	52	1062	28	1086	65	61	32	4	0	0	0	0	64	195	42	177	608
УИК №2526	2132	1800	0	1045	39	716	39	1044	20	1063	50	38	49	12	0	0	0	0	72	205	44	204	538
УИК №2527	1817	1500	0	1043	33	424	33	1043	22	1054	40	30	22	10	0	0	0	0	85	183	40	144	602
УИК №2528	1547	1300	0	885	26	389	26	883	17	892	40	32	61	8	1	0	0	0	69	155	40	154	474
УИК №25	2899	2000	0	1613	62	325	62	1610	30	1642	80	78	48	2	2	0	0	0	85	338	108	384	727
УИК №2529	2224	1800	0	1130	41	629	41	1121	24	1138	50	43	31	7	1	0	0	0	70	212	57	249	550
УИК №2530	2396	2000	0	1372	42	586	42	1363	24	1381	50	45	43	5	1	0	0	0	82	319	64	268	648
УИК №2531	2398	2100	0	1406	47	647	47	1397	23	1421	60	57	24	3	4	0	0	0	74	304	85	287	671
УИК №253	2183	2050	0	1245	48	757	48	1238	21	1265	60	51	75	9	0	0	0	0	56	275	79	279	576
УИК №2532	2201	1900	0	1162	32	706	32	1162	19	1175	70	66	29	4	3	0	0	0	114	212	61	213	575
УИК №2533	2290	2000	0	1105	75	820	75	1092	32	1135	62	57	36	5	2	0	0	0	83	226	48	209	569
УИК №2534	2144	1800	0	1189	49	562	49	1185	22	1212	50	41	97	9	0	0	0	0	94	242	69	218	589
УИК №2535	2956	2500	0	1467	75	958	75	1448	19	1504	60	55	53	5	4	0	0	0	124	279	95	256	750
УИК №2536	2625	2300	0	1295	79	926	79	1291	18	1352	80	73	15	7	1	0	0	0	126	228	51	229	718
УИК №2537	2718	2400	0	1358	52	990	52	1348	20	1380	70	67	53	3	1	0	0	0	67	274	70	318	651
УИК №2538	2778	2400	0	1412	63	925	63	1412	33	1442	80	71	41	9	0	0	0	0	105	273	87	261	716
УИК №2539	2635	2300	0	1275	54	971	54	1273	17	1310	60	33	30	27	1	0	0	0	100	298	63	254	595
УИК №2540	2609	2300	0	1340	90	870	90	1340	23	1407	80	76	46	4	0	0	0	0	91	286	77	285	668
УИК №2541	2348	2000	0	1294	49	657	49	1289	35	1303	50	45	38	5	2	0	0	0	93	247	68	279	616
УИК №2542	2348	2000	0	1209	66	725	66	1206	26	1246	50	47	70	3	0	0	0	0	78	232	55	222	659
УИК №254	2601	2450	0	1352	72	1026	72	1348	30	1390	70	69	72	1	3	0	0	0	82	263	82	249	714
УИК №2543	2710	2300	0	1402	71	827	71	1389	29	1431	75	72	49	3	2	0	0	0	100	271	85	302	673
УИК №2544	2269	2000	0	1138	68	794	68	1137	38	1167	60	50	19	10	1	0	0	0	86	217	60	245	559
УИК №2545	2379	2000	0	1256	59	685	59	1256	28	1287	50	40	41	10	0	0	0	0	65	289	70	248	615
УИК №2546	2671	2200	0	1454	32	714	32	1443	24	1451	60	53	39	7	1	0	0	0	59	309	88	420	575
УИК №2547	2015	1800	0	1226	10	564	10	1224	21	1213	50	48	29	2	0	0	0	0	128	268	75	202	540
УИК №2548	1859	1500	0	881	91	528	91	881	14	958	32	32	26	0	1	0	0	0	64	172	54	163	505
УИК №2549	2201	2000	0	1263	13	724	13	1263	66	1210	50	50	42	0	0	0	0	0	91	233	60	209	617
УИК №2550	2246	1800	0	1235	12	553	12	1232	23	1221	58	57	13	1	0	0	0	0	83	224	63	237	614
УИК №2551	2352	2000	0	1242	21	737	21	1242	31	1232	52	48	37	4	0	0	0	0	85	261	51	226	609
УИК №2552	2041	1800	0	1149	32	619	31	1139	15	1155	32	32	29	0	2	0	0	0	85	246	59	202	563
УИК №255	2438	2350	0	1306	54	990	54	1303	27	1330	50	44	34	6	2	0	0	0	78	282	74	279	617
УИК №2553	2332	2000	0	1277	16	707	16	1273	29	1260	50	49	31	1	1	0	0	0	92	206	80	216	666
УИК №2554	2142	2000	0	1144	22	834	22	1139	19	1142	48	48	22	0	1	0	0	0	96	176	68	191	611
УИК №2555	2747	2500	0	1580	30	890	30	1579	18	1591	74	71	46	3	5	0	0	0	106	346	64	269	806
УИК №2556	2686	2400	0	1450	19	931	19	1444	28	1435	50	50	18	0	0	0	0	0	123	276	63	230	743
УИК №2557	2518	2300	0	1400	25	875	25	1400	31	1394	58	58	22	0	0	0	0	0	84	275	65	310	660
УИК №2558	2794	2500	0	1551	18	931	18	1551	22	1547	60	58	30	2	6	0	0	0	123	373	91	263	697
УИК №2559	2476	2300	0	1436	13	851	13	1434	32	1415	50	46	21	4	3	0	0	0	77	317	53	256	712
УИК №2560	2704	2500	0	1410	25	1065	25	1410	36	1399	45	43	33	2	3	0	0	0	106	307	73	217	696
УИК №2561	2272	2000	0	1202	21	777	21	1201	27	1195	50	46	31	4	4	0	0	0	90	234	63	202	606
УИК №2562	1713	1600	0	966	11	623	11	965	16	960	32	31	14	1	1	0	0	0	69	226	42	172	451
УИК №256	2463	1950	0	1541	64	345	64	1538	18	1584	62	61	120	1	4	0	0	0	109	335	74	287	779
УИК №2563	2154	1900	0	1171	23	706	23	1170	19	1174	50	49	29	1	1	0	0	0	80	253	53	208	580
УИК №2564	2091	2000	0	1109	17	874	17	1103	23	1097	40	38	14	2	1	0	0	0	71	250	54	202	520
УИК №2565	1782	1700	0	1061	10	629	10	1061	20	1051	40	40	13	0	3	0	0	0	77	245	38	183	508
УИК №2566	2199	2000	0	1227	30	743	30	1227	16	1241	50	38	26	12	0	0	0	0	84	250	52	206	649
УИК №2567	2246	2000	0	1157	29	814	29	1157	17	1169	50	45	12	5	1	0	0	0	74	213	60	196	626
УИК №2568	2177	2000	0	1151	33	816	33	1140	22	1151	46	44	23	2	3	0	0	0	73	209	56	198	615
УИК №2569	2526	2300	0	1392	18	890	18	1385	23	1380	60	57	15	3	1	0	0	0	110	307	57	225	681
УИК №2570	2315	2100	0	1220	11	869	11	1219	22	1208	40	39	33	1	0	0	0	0	96	220	52	181	659
УИК №2571	2212	1900	0	1206	17	677	17	1206	24	1199	50	39	26	11	3	0	0	0	59	226	54	277	583
УИК №2572	1820	1600	0	998	15	587	15	992	16	991	40	34	33	6	2	0	0	0	79	185	50	185	492
УИК №257	2623	2450	0	1455	47	948	47	1453	30	1470	68	63	54	5	8	0	0	0	98	297	90	354	631
УИК №2573	2276	2100	0	1316	20	764	20	1310	18	1312	64	64	12	0	3	0	0	0	93	244	51	238	686
УИК №2574	2477	2200	0	1304	30	866	30	1304	25	1309	50	48	29	2	2	0	0	0	101	261	54	240	653
УИК №2575	2846	2600	0	1671	13	916	13	1667	37	1643	71	71	32	0	2	0	0	0	133	336	69	336	769
УИК №2576	2065	1900	0	1185	12	703	12	1185	21	1176	50	48	37	2	2	0	0	0	70	248	59	200	599
УИК №2577	2385	2200	0	1390	20	790	20	1384	29	1375	50	50	32	0	1	0	0	0	124	277	86	183	705
УИК №2578	2358	1900	0	1384	6	510	6	1379	25	1360	50	48	71	2	4	0	0	0	57	194	50	391	668
УИК №2579	3012	2700	0	1472	23	1205	23	1436	23	1436	45	41	31	4	6	0	0	0	89	248	66	185	848
УИК №2580	2472	2300	0	1414	33	853	33	1405	33	1405	60	58	27	2	2	0	0	0	101	293	66	290	655
УИК №2581	2140	1950	0	1064	46	840	46	1062	22	1086	50	46	54	4	7	0	0	0	83	199	54	264	486
УИК №2582	2450	2250	0	1171	53	1026	53	1162	18	1197	50	48	30	2	7	0	0	0	99	234	48	246	570
УИК №258	2802	2600	0	1686	49	865	49	1597	84	1562	55	54	113	1	1	0	0	0	59	281	62	509	651
УИК №2583	2240	2050	0	1256	44	750	44	1235	22	1257	45	41	45	4	3	0	0	0	86	260	58	292	561
УИК №2584	2654	2500	0	1461	52	987	52	1461	36	1477	65	63	18	2	9	0	0	0	91	248	86	289	763
УИК №2585	1945	1800	0	1082	41	677	41	1082	20	1103	50	45	9	5	3	0	0	0	88	236	48	217	514
УИК №2586	2157	1950	0	1245	29	676	29	1245	28	1246	65	60	50	5	3	0	0	0	83	194	69	260	640
УИК №2587	2131	1950	0	1206	40	704	40	1206	27	1219	40	31	18	9	1	0	0	0	62	261	65	212	619
УИК №2588	2685	2500	0	1713	49	738	49	1502	25	1526	45	45	32	0	7	0	0	0	94	302	93	341	696
УИК №2589	2209	2050	0	1219	47	784	47	1219	40	1226	40	39	22	1	7	0	0	0	78	254	67	301	526
УИК №2590	2295	2100	0	1197	39	864	39	1189	23	1205	45	43	58	2	18	0	0	0	73	238	59	176	659
УИК №2591	2118	1950	0	1164	32	754	32	1164	27	1169	50	41	13	9	9	0	0	0	60	202	56	181	670
УИК №2592	2305	2150	0	1215	50	885	50	1192	17	1225	40	35	15	5	12	0	0	0	112	178	64	141	730
УИК №259	2340	2200	0	1296	51	853	51	1292	21	1322	58	57	62	1	3	0	0	0	89	269	71	258	635
УИК №2593	2518	2200	0	1101	5	1094	5	1096	24	1077	55	52	24	3	7	0	0	0	97	167	68	120	625
УИК №2594	2031	1850	0	1055	28	767	28	1045	16	1057	40	40	62	0	6	0	0	0	86	217	56	157	541
УИК №2595	2359	2150	0	1348	16	786	16	1337	26	1327	145	139	84	6	0	0	0	0	171	192	37	181	746
УИК №2596	2172	1950	0	1099	50	801	50	1099	16	1133	55	47	75	8	5	0	0	0	77	116	57	210	673
УИК №2597	2469	2150	0	1461	17	672	17	1452	26	1443	65	64	16	1	6	0	0	0	92	208	60	227	856
УИК №2598	1516	1400	0	797	25	578	25	793	24	794	40	38	49	2	4	0	0	0	64	153	36	109	432
УИК №2599	2139	1950	0	1125	24	801	23	1122	22	1123	60	60	36	0	5	0	0	0	67	256	42	189	569
УИК №2600	2582	2350	0	1306	28	1016	28	1297	24	1301	70	70	52	0	8	0	0	0	86	259	55	246	655
УИК №2601	2977	2700	0	1626	22	1052	22	1614	39	1597	75	72	43	3	5	0	0	0	109	300	92	363	733
УИК №260	2138	2050	0	1202	49	799	49	1200	26	1223	60	53	38	7	3	0	0	0	78	230	92	264	559
УИК №2602	2436	2200	0	1156	42	1002	42	1156	18	1180	45	43	33	2	2	0	0	0	64	222	60	216	618
УИК №2603	2477	2300	0	1163	39	1098	39	1161	27	1173	50	48	20	2	7	0	0	0	90	219	71	194	599
УИК №2604	2511	2900	0	1713	50	1137	50	1713	40	1723	55	48	16	7	6	0	0	0	89	286	83	307	958
УИК №2605	2987	2700	0	1629	31	1040	31	1622	27	1626	65	62	69	3	3	0	0	0	105	313	81	304	823
УИК №2606	2441	2100	0	1356	9	735	9	1347	10	1346	60	57	74	3	5	0	0	0	71	170	48	268	789
УИК №2607	874	800	0	456	275	69	275	456	17	714	10	5	18	5	0	0	0	0	15	58	15	82	544
УИК №2608	1551	1300	0	901	13	386	13	901	19	895	40	34	12	6	0	0	0	0	49	192	53	193	408
УИК №2609	2053	1600	0	1248	28	324	28	1202	18	1212	40	34	30	6	1	0	0	0	50	304	62	292	504
УИК №2610	1675	1300	0	957	33	310	33	956	19	970	40	27	36	13	0	0	0	0	63	165	63	249	430
УИК №2611	2025	1500	0	1118	34	348	34	1117	18	1133	50	50	67	0	2	0	0	0	61	219	43	327	483
УИК №2612	1615	1300	0	839	25	436	25	838	23	840	40	28	25	12	1	0	0	0	42	154	53	249	342
УИК №261	2569	2450	0	1451	65	934	65	1451	27	1489	50	46	39	4	3	0	0	0	75	321	78	336	679
УИК №2613	1805	1500	0	965	37	498	37	964	17	984	45	38	34	7	2	0	0	0	76	222	59	194	433
УИК №2614	2089	1500	0	1074	43	383	43	1071	50	1064	50	45	44	5	1	0	0	0	82	204	51	236	491
УИК №2615	1963	1400	0	1125	34	241	34	1125	21	1138	40	38	140	2	0	0	0	0	61	211	62	265	539
УИК №2616	2655	2400	0	1527	49	824	49	1523	51	1521	70	64	72	6	1	0	0	0	50	258	77	623	513
УИК №2617	1827	1500	0	972	32	496	32	972	18	986	40	34	45	6	1	0	0	0	53	187	60	257	429
УИК №2618	2261	1800	0	1195	40	565	40	1194	23	1211	40	37	17	3	1	0	0	0	53	238	64	341	515
УИК №2619	2616	2100	0	1510	47	543	47	1509	21	1535	45	42	27	3	3	0	0	0	63	280	81	459	652
УИК №2620	2071	1600	0	1060	45	495	44	1058	29	1073	60	54	48	6	1	0	0	0	59	244	32	310	428
УИК №2621	2107	1600	0	1157	30	413	30	1152	33	1149	47	46	31	1	3	0	0	0	70	214	54	305	506
УИК №2622	1598	1200	0	909	34	257	34	906	21	919	40	34	38	6	1	0	0	0	57	158	51	226	427
УИК №262	2393	2200	0	1293	59	848	59	1290	38	1311	60	43	39	17	1	0	0	0	85	250	61	368	547
УИК №2623	1454	1200	0	770	39	391	39	769	25	783	40	27	27	13	3	0	0	0	46	145	46	208	338
УИК №2624	2200	1800	0	1171	42	593	42	1163	26	1179	47	47	26	0	0	0	0	6	69	261	75	264	510
УИК №2625	2239	1800	0	1204	58	538	58	1201	21	1238	45	45	30	0	0	0	0	0	32	300	49	445	412
УИК №26	2617	2000	0	1528	52	420	52	1519	39	1532	65	62	107	3	0	0	0	0	87	281	80	426	658
УИК №2626	2310	1800	0	1390	15	395	15	1386	28	1373	60	60	21	0	0	0	0	0	40	208	58	475	592
УИК №2627	2021	1800	0	1102	32	666	32	1101	30	1103	60	45	83	15	1	0	0	0	76	196	59	231	541
УИК №2628	1314	1100	0	751	25	324	25	751	21	755	60	50	23	10	0	0	0	0	29	142	47	220	317
УИК №2629	2191	2000	0	1241	50	709	50	1239	28	1261	50	40	30	10	1	0	0	0	60	212	57	385	547
УИК №2630	1793	1500	0	851	36	613	36	849	16	869	45	34	32	11	1	0	0	0	47	135	46	277	364
