	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число полученных открепительных  удостоверений	Число открепительных удостоверений, выданных избирателям на избирательном участке	Число избирателей, проголосовавших по открепительным удостоверениям	Число неиспользованных открепительных удостоверений	Число открепительных удостоверений, выданных избирателям ТИК	Число утраченных открепительных удостоверений	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Жириновский Владимир Вольфович	Зюганов Геннадий Андреевич	Миронов Сергей Михайлович	Прохоров Михаил Дмитриевич	Путин Владимир Владимирович
УИК №1087	2481	2200	0	1452	33	715	33	1451	14	1470	77	76	37	1	5	0	0	0	122	309	76	278	685
УИК №1088	2270	2000	0	1204	61	735	61	1204	23	1242	75	75	55	0	12	0	0	0	88	274	63	231	586
УИК №1089	2623	2400	0	1447	62	891	62	1447	34	1475	75	75	40	0	3	0	0	0	94	298	78	292	713
УИК №1090	2474	2200	0	1463	33	704	33	1463	25	1471	80	80	44	0	2	0	0	0	99	318	67	287	700
УИК №1091	2577	2200	0	1556	34	610	34	1554	29	1559	86	83	96	3	8	0	0	0	140	304	66	284	765
УИК №1092	2438	2200	0	1427	46	727	46	1426	17	1455	71	67	53	4	1	0	0	0	115	316	68	295	661
УИК №109	2684	2700	0	1420	45	1235	45	1401	40	1406	70	54	23	16	2	0	0	0	77	274	64	308	683
УИК №1093	2213	2000	0	1290	38	672	38	1290	26	1302	66	66	35	0	8	0	0	0	104	290	80	200	628
УИК №1094	2167	2000	0	1245	55	700	55	1239	27	1267	45	40	17	5	1	0	0	0	102	270	51	180	664
УИК №1095	2199	2000	0	1208	30	762	30	1208	35	1203	48	48	25	0	0	0	0	0	132	234	58	174	605
УИК №1096	2243	2000	0	1223	42	735	42	1223	44	1221	55	55	34	0	3	0	0	0	65	218	78	218	642
УИК №1097	2534	2200	0	1346	30	824	30	1346	30	1346	60	60	21	0	3	0	0	0	108	268	68	226	676
УИК №1098	2529	2200	0	1423	50	727	50	1420	26	1444	65	65	34	0	4	0	0	0	109	306	71	233	725
УИК №1099	2517	2200	0	1401	76	723	76	1401	41	1436	55	55	17	0	3	0	0	0	87	289	91	237	732
УИК №1100	2635	2200	0	1461	44	695	44	1461	37	1468	65	65	35	0	3	0	0	0	98	308	68	238	756
УИК №1101	2455	2200	0	1377	56	767	56	1377	24	1409	75	74	31	1	3	0	0	0	103	246	72	237	751
УИК №1102	2014	1800	0	1106	42	652	42	1104	29	1117	52	45	41	7	2	0	0	0	98	224	49	183	563
УИК №110	2555	2500	0	1283	46	1171	45	1283	32	1296	80	65	88	15	2	0	0	0	84	260	70	260	622
УИК №1103	2091	1800	0	1190	51	559	51	1190	29	1212	75	69	87	6	2	0	0	0	118	216	50	200	628
УИК №1104	2694	2400	0	1508	54	838	54	1505	32	1527	79	79	43	0	4	0	0	0	127	300	66	308	726
УИК №1105	2663	2400	0	1474	29	897	29	1474	38	1465	60	57	23	3	0	0	0	0	102	259	56	311	737
УИК №1106	2601	2400	0	1375	49	975	49	1371	35	1385	86	83	27	3	2	0	1	0	109	270	94	248	664
